Year,ISO_Code,Countries,Economic Freedom Summary Index,Rank,Quartile,Government consumption,data,Transfers and subsidies,data,Government investment,data,Top marginal income tax rate,data,Top marginal income and payroll tax rate,data,Top marginal tax rate,State ownership of assets,Size of Government, Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Gender Legal Rights Adjustment,Legal System & Property Rights,Money growth,data,Standard deviation of inflation,data, Inflation: Most recent year,data,Freedom to own foreign currency bank accounts,Sound Money,Revenue from trade taxes (% of trade sector),data,Mean tariff rate,data,Standard deviation of tariff rates,data,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Financial Openness,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade Internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Impartial Public Administration,Licensing restrictions,Tax compliance,Business regulations,Regulation
2020,AGO,Angola,5.91,138,4,7.70,13.82,9.70,1.59,9.27,17.55,10.00,17.00,9.00,25.00,9.50,4.49,8.13,4.06,3.39,3.74,4.17,4.50,2.30,5.52,3.81,0.88,3.71,7.03,14.83,6.78,8.06,5.54,22.30,5.00,6.09,9.39,0.91,7.96,10.20,4.00,14.99,7.12,4.70,2.51,3.60,10.00,0.00,2.31,0.00,0.77,5.37,5.00,8.94,9.00,7.65,10.00,4.43,6.97,4.00,6.63,0.00,5.34,2.94,3.11,8.73,4.70,7.92,6.78,5.70,6.23
2020,ALB,Albania,7.64,26,1,8.03,12.71,6.98,11.59,7.55,23.59,9.00,23.00,7.00,34.00,8.00,8.54,7.82,4.19,4.07,3.84,8.33,5.40,3.91,6.72,5.61,1.00,5.26,9.78,1.08,9.69,0.77,9.68,1.62,10.00,9.79,9.57,0.64,9.28,3.60,8.08,4.79,8.98,6.81,9.41,8.11,10.00,4.17,4.62,8.63,5.80,8.22,10.00,3.77,10.00,7.92,5.57,4.87,5.58,8.00,6.30,10.00,6.72,5.65,6.00,9.74,6.00,5.62,7.18,6.70,7.11
2020,ARE,United Arab Emirates,7.35,49,2,3.98,26.46,8.06,7.62,0.00,54.45,10.00,0.00,10.00,16.00,10.00,3.70,5.15,5.83,7.68,7.77,8.33,5.88,5.83,9.91,8.61,0.88,7.04,9.66,1.70,7.06,7.36,9.58,-2.08,10.00,9.08,10.00,0.00,9.08,4.60,7.92,5.20,9.00,7.11,8.33,7.72,10.00,10.00,5.38,0.00,5.13,7.96,5.00,10.00,8.00,7.67,10.00,6.93,7.38,6.00,10.00,0.00,6.72,7.03,6.44,9.69,7.31,10.00,8.70,8.20,7.53
2020,ARG,Argentina,4.87,161,4,5.99,19.65,6.49,13.37,8.70,19.54,7.00,35.00,1.00,57.00,4.00,7.24,6.48,4.73,4.03,4.58,7.50,4.84,3.82,6.86,4.41,0.88,4.80,5.08,24.58,6.38,9.05,1.60,42.00,5.00,4.52,4.93,7.61,7.32,13.40,5.87,10.32,6.04,5.07,5.65,5.36,0.00,2.84,0.00,0.00,0.95,3.09,5.00,5.38,5.00,5.13,2.77,2.24,3.19,10.00,2.52,10.00,5.12,2.71,5.56,9.58,7.27,5.73,6.51,6.23,5.49
2020,ARM,Armenia,7.84,11,1,6.61,17.54,7.22,10.69,8.98,18.58,9.00,23.00,7.00,33.00,8.00,9.07,7.98,4.69,5.54,6.37,5.83,5.77,5.20,9.82,6.67,1.00,6.24,8.78,6.12,9.68,0.81,9.76,1.21,10.00,9.55,8.94,1.59,8.76,6.20,7.59,6.01,8.43,5.69,9.32,7.50,10.00,8.36,6.15,0.00,4.84,7.69,10.00,9.05,10.00,9.68,6.67,5.60,7.25,10.00,9.25,0.00,6.46,5.17,5.11,9.86,6.26,9.30,7.04,7.12,7.76
2020,AUS,Australia,8.04,6,1,3.45,28.27,5.77,16.03,9.25,17.64,5.00,45.00,4.00,47.00,4.50,7.49,6.09,8.44,7.57,8.45,10.00,8.92,6.76,8.14,8.42,1.00,8.34,9.05,4.73,9.35,1.64,9.83,0.85,10.00,9.56,8.51,2.24,9.52,2.40,9.05,2.38,9.03,7.12,8.43,7.78,10.00,10.00,4.62,0.00,4.87,7.92,10.00,6.39,10.00,8.80,8.90,3.91,6.08,10.00,7.93,10.00,7.80,3.98,8.00,9.93,9.64,8.95,8.82,8.22,8.27
2020,AUT,Austria,7.56,33,1,3.02,29.72,1.72,30.88,10.00,13.21,4.00,55.00,3.00,59.00,3.50,6.40,4.93,7.82,7.79,8.62,10.00,9.21,6.99,8.10,8.60,1.00,8.39,7.20,14.02,9.81,0.49,9.72,1.38,10.00,9.18,8.60,2.10,8.98,5.10,6.51,8.72,8.03,6.66,9.98,8.32,10.00,10.00,3.08,5.00,6.03,8.09,8.00,6.82,10.00,8.27,8.90,4.78,2.49,6.00,10.00,3.00,5.86,4.47,6.00,9.24,9.28,7.30,8.53,7.47,7.20
2020,AZE,Azerbaijan,6.21,119,3,5.64,20.83,7.71,8.90,0.00,57.60,9.00,25.00,4.00,44.00,6.50,2.90,4.55,4.02,3.58,6.81,5.00,4.13,7.25,7.61,7.60,0.82,5.24,8.76,6.21,5.87,10.33,9.45,2.76,5.00,7.27,8.73,1.91,8.26,8.70,5.65,10.88,7.55,6.63,8.20,7.42,10.00,4.64,4.62,0.00,3.09,7.01,5.00,7.32,9.00,7.11,8.33,7.25,8.18,6.00,8.50,1.00,6.54,7.21,6.22,9.88,2.82,9.02,8.22,7.23,6.96
2020,BDI,Burundi,5.67,147,4,3.09,29.51,10.00,0.47,9.39,17.15,8.00,30.00,5.00,38.00,6.50,4.41,6.68,3.74,3.34,4.31,,3.28,2.81,8.55,5.37,0.82,4.09,6.63,16.86,7.39,6.52,8.54,7.32,10.00,8.14,8.07,2.90,7.44,12.80,5.14,12.16,6.88,4.55,1.14,2.84,1.72,0.00,1.54,0.00,0.51,2.99,5.00,0.00,10.00,5.00,10.00,5.12,7.45,8.00,7.76,10.00,8.05,4.91,2.44,9.71,3.55,9.76,7.40,6.30,6.45
2020,BEL,Belgium,7.37,46,2,1.98,33.26,0.63,34.89,10.00,11.47,2.00,50-55,0.00,66-69,1.00,8.01,4.32,7.72,7.24,7.86,10.00,8.27,6.53,4.90,7.60,1.00,7.52,7.13,14.34,9.94,0.16,9.85,0.74,10.00,9.23,8.60,2.10,8.98,5.10,6.51,8.72,8.03,5.64,9.98,7.81,10.00,10.00,3.85,5.00,6.28,8.03,8.00,6.24,10.00,8.08,8.90,3.75,5.85,6.00,10.00,10.00,7.42,3.50,7.78,9.78,9.53,7.46,8.48,7.75,7.75
2020,BEN,Benin,6.51,106,3,7.54,14.35,9.77,1.34,9.03,18.38,5.00,40.00,2.00,54.00,3.50,8.72,7.71,5.45,4.95,4.87,,6.01,2.05,6.61,6.67,0.82,4.77,9.58,-2.08,9.46,1.35,9.40,3.02,0.00,7.11,5.84,6.24,7.58,12.10,7.05,7.38,6.82,5.13,5.16,5.15,10.00,1.64,0.77,0.00,0.80,5.69,10.00,9.75,5.00,8.25,7.77,6.13,7.60,8.00,7.57,1.00,6.34,4.54,4.22,9.68,7.88,9.48,6.97,7.13,7.24
2020,BFA,Burkina Faso,6.15,123,3,5.41,21.61,9.53,2.22,6.98,25.56,9.00,25.00,4.00,42.00,6.50,7.79,7.24,5.02,3.80,4.62,3.33,6.25,2.14,4.82,5.72,0.82,4.07,8.72,6.38,8.78,3.06,9.62,1.89,0.00,6.78,7.69,3.46,7.58,12.10,7.05,7.38,7.44,5.43,3.60,4.52,10.00,1.64,0.77,0.00,0.80,5.69,10.00,7.86,4.00,7.29,6.67,4.60,6.87,6.00,7.94,10.00,7.01,3.77,4.22,9.11,6.22,8.93,6.97,6.54,6.95
2020,BGD,Bangladesh,5.89,139,4,9.34,8.23,9.71,1.55,6.40,27.61,9.00,25.00,9.00,25.00,9.00,6.48,8.19,3.15,3.60,4.31,4.17,3.29,0.94,2.67,4.18,0.76,2.90,9.19,4.06,9.55,1.14,8.86,5.69,0.00,6.90,5.55,6.68,7.20,14.00,6.25,9.38,6.33,5.63,0.00,2.82,10.00,1.64,0.00,0.00,0.55,4.92,5.00,8.45,10.00,7.82,10.00,4.69,6.28,10.00,1.37,10.00,7.05,3.88,2.67,9.28,1.38,6.45,5.12,4.80,6.56
2020,BGR,Bulgaria,7.69,23,1,4.44,24.92,5.95,15.38,9.15,17.98,10.00,10.00,7.00,35.00,8.50,7.93,7.19,5.61,4.71,4.86,8.33,5.60,5.08,8.72,4.76,1.00,5.96,8.86,5.69,9.56,1.10,9.67,1.67,10.00,9.52,8.60,2.10,8.98,5.10,6.51,8.72,8.03,5.42,9.85,7.64,10.00,6.88,4.62,6.45,5.98,7.91,10.00,9.62,10.00,9.87,5.57,5.04,7.18,6.00,9.25,10.00,7.17,4.52,5.56,9.25,5.94,9.33,5.06,6.61,7.89
2020,BHR,Bahrain,7.47,39,1,3.42,28.36,9.43,2.58,10.00,14.39,10.00,0.00,10.00,17.00,10.00,2.55,7.08,5.37,5.10,7.84,5.00,5.00,4.79,9.40,8.95,0.53,4.92,9.95,0.27,8.24,4.41,9.54,-2.32,10.00,9.43,9.71,0.44,9.04,4.80,6.37,9.07,8.37,6.81,6.67,6.74,10.00,10.00,6.15,7.63,7.93,8.26,10.00,2.83,10.00,7.61,8.33,5.98,8.06,8.00,7.03,10.00,7.90,6.06,7.56,9.71,2.41,9.76,9.75,7.54,7.68
2020,BHS,"Bahamas, The",7.02,71,2,5.96,19.73,8.62,5.55,10.00,6.12,10.00,0.00,10.00,9.00,10.00,,8.65,7.15,5.12,,10.00,6.67,4.60,3.82,,1.00,6.23,9.63,1.85,7.59,6.01,9.99,0.04,0.00,6.80,4.53,8.20,3.50,32.50,1.55,21.13,3.19,6.71,8.11,7.41,10.00,0.00,0.77,0.00,0.26,5.22,10.00,5.35,10.00,8.45,8.90,,,8.00,6.55,10.00,8.36,,5.78,9.52,,7.98,8.26,7.88,8.23
2020,BIH,Bosnia and Herzegovina,6.72,89,3,5.29,22.03,4.89,19.25,9.66,16.20,10.00,10.00,3.00,47.00,6.50,6.85,6.64,4.13,3.46,3.75,,4.44,3.79,7.66,4.50,0.88,4.27,8.91,5.44,9.59,1.02,9.79,-1.05,5.00,8.32,9.87,0.20,8.74,6.30,6.62,8.44,8.41,6.19,9.59,7.89,10.00,1.64,3.08,3.34,2.69,7.25,10.00,7.39,10.00,9.13,5.57,3.11,7.08,10.00,7.51,10.00,7.21,1.84,4.89,7.26,2.62,7.95,5.39,4.99,7.11
2020,BLR,Belarus,6.83,83,2,4.49,24.73,5.72,16.20,,,10.00,13.00,5.00,36.00,7.50,3.23,5.24,3.69,5.11,,5.00,4.22,6.97,9.91,,0.88,5.47,8.39,8.05,9.37,1.57,8.89,5.55,10.00,9.16,8.45,2.32,8.64,6.80,6.57,8.57,7.89,6.15,9.70,7.93,10.00,1.64,1.54,7.01,3.40,7.30,2.00,8.97,9.00,6.66,10.00,,,10.00,7.76,1.00,7.19,,6.00,9.72,3.32,8.34,8.09,7.10,6.98
2020,BLZ,Belize,6.23,118,3,4.90,23.35,8.43,6.26,1.89,43.39,9.00,25.00,,,9.00,,6.05,6.79,3.69,7.39,,,3.33,7.29,3.33,0.88,4.99,9.27,3.66,9.04,2.39,9.98,0.10,0.00,7.07,7.47,3.79,7.62,11.90,4.15,14.64,6.41,4.27,6.09,5.18,10.00,1.64,0.00,0.00,0.55,5.54,10.00,4.61,10.00,8.20,7.77,4.97,7.99,8.00,6.55,10.00,7.55,3.72,4.67,8.10,,8.60,8.35,6.69,7.48
2020,BOL,Bolivia,6.15,123,3,5.24,22.19,8.84,4.77,0.00,65.70,10.00,13.00,10.00,13.00,10.00,5.70,5.95,3.13,2.50,3.23,4.17,4.04,4.49,6.75,2.72,1.00,3.88,9.68,1.58,8.60,3.49,9.81,0.94,10.00,9.52,9.24,1.14,7.64,11.80,6.22,9.44,7.70,4.95,3.05,4.00,10.00,4.48,4.62,0.00,3.03,6.18,8.00,4.92,10.00,7.64,1.10,2.05,5.01,8.00,,3.00,3.83,1.85,3.11,8.34,4.90,7.08,0.00,4.22,5.23
2020,BRA,Brazil,6.33,114,3,4.52,24.63,5.35,17.57,10.00,13.45,8.00,28.00,2.00,52.00,5.00,8.18,6.61,5.29,4.68,4.89,5.83,5.18,3.33,8.24,3.85,1.00,5.16,8.47,7.65,9.16,2.11,9.36,3.21,10.00,9.25,8.73,1.90,7.34,13.30,6.12,9.71,7.40,4.04,7.87,5.95,10.00,1.64,2.31,0.00,1.32,6.17,5.00,1.09,7.00,4.36,2.23,2.93,5.48,6.00,7.13,3.00,4.46,1.14,6.22,9.42,5.20,5.40,0.00,4.56,4.46
2020,BRB,Barbados,7.01,72,2,7.79,13.52,6.65,12.81,10.00,14.19,8.00,29.00,3.00,46.00,5.50,6.69,7.32,7.22,5.38,5.85,,7.74,3.80,7.58,6.40,0.88,5.91,9.53,2.34,8.78,3.04,9.42,2.90,5.00,8.18,8.01,2.99,7.86,10.70,5.63,10.91,7.17,6.56,6.16,6.36,10.00,1.64,0.00,0.00,0.55,6.02,8.00,10.00,10.00,9.33,8.90,2.99,6.37,8.00,5.68,10.00,6.99,3.26,6.89,9.41,7.44,5.00,7.30,6.55,7.62
2020,BRN,Brunei Darussalam,7.21,59,2,0.00,51.70,,,10.00,3.48,10.00,0.00,10.00,7.00,10.00,,6.67,5.63,5.25,5.53,8.33,6.67,4.17,4.80,6.47,0.71,5.00,9.79,1.04,6.50,8.75,9.61,1.94,10.00,8.98,,,9.96,0.20,9.32,1.70,9.64,5.10,2.34,3.72,10.00,,6.15,0.00,3.08,6.61,,8.67,10.00,9.33,10.00,4.91,7.82,10.00,10.00,10.00,8.79,3.89,8.44,9.81,,9.56,9.41,8.22,8.78
2020,BTN,Bhutan,6.49,110,3,4.35,25.22,9.46,2.47,4.97,32.62,7.00,33.00,8.00,26.00,7.50,5.28,6.31,6.50,6.62,6.16,,7.45,7.37,6.90,2.46,0.94,6.03,8.09,9.57,9.01,2.47,8.87,5.63,0.00,6.49,9.20,1.20,5.58,22.10,4.25,14.37,6.34,4.92,9.50,7.21,10.00,1.64,0.00,0.00,0.55,6.03,5.00,9.39,9.00,7.80,10.00,2.01,5.63,10.00,10.00,10.00,7.94,2.54,4.22,9.58,8.23,8.47,9.42,7.08,7.60
